,Date,Round,Home,Away,Home Score,Away Score,Home Elo Pre,Away Elo Pre,Home Elo Pre + Advantage,Home Elo Post,Away Elo Post,Home Elo Change,Away Elo Change,Result,Year
1514,2019-05-11,R8,Footscray,Brisbane Lions,92,76,1434.32,1468.51,1434.32,1448.06,1454.76,13.75,-13.75,Home Win,2019
1515,2019-05-11,R8,Gold Coast,Melbourne,60,61,1286.81,1497.26,1336.81,1285.68,1498.39,-1.13,1.13,Away Win,2019
1516,2019-05-11,R8,Port Adelaide,Adelaide,68,88,1549.74,1550.27,1599.74,1532.36,1567.65,-17.38,17.38,Away Win,2019
1517,2019-05-12,R8,Fremantle,Richmond,86,111,1452.18,1581.99,1502.18,1439.5,1594.66,-12.67,12.67,Away Win,2019
1518,2019-05-12,R8,North Melbourne,Geelong,80,104,1430.93,1687.88,1480.93,1424.16,1694.65,-6.77,6.77,Away Win,2019
1519,2019-05-12,R8,Hawthorn,GWS,71,38,1527.42,1613.06,1577.42,1550.52,1589.96,23.1,-23.1,Home Win,2019
1520,2019-05-17,R9,West Coast,Melbourne,85,69,1589.7,1498.39,1639.7,1597.06,1491.02,7.36,-7.36,Home Win,2019
1521,2019-05-18,R9,Essendon,Fremantle,60,53,1541.99,1439.5,1591.99,1545.81,1435.69,3.82,-3.82,Home Win,2019
1522,2019-05-18,R9,Collingwood,St Kilda,112,71,1662.21,1389.19,1712.21,1668.08,1383.32,5.87,-5.87,Home Win,2019
1523,2019-05-18,R9,Brisbane Lions,Adelaide,93,92,1454.76,1567.65,1504.76,1457.28,1565.14,2.51,-2.51,Home Win,2019
1524,2019-05-18,R9,Geelong,Footscray,133,89,1694.65,1448.06,1744.65,1701.83,1440.88,7.19,-7.19,Home Win,2019
1525,2019-05-18,R9,North Melbourne,Sydney,72,77,1424.16,1465.48,1474.16,1418.61,1471.03,-5.55,5.55,Away Win,2019
1526,2019-05-19,R9,Richmond,Hawthorn,95,59,1594.66,1550.52,1644.66,1611.69,1533.5,17.02,-17.02,Home Win,2019
1527,2019-05-19,R9,Port Adelaide,Gold Coast,89,51,1532.36,1285.68,1582.36,1538.76,1279.27,6.41,-6.41,Home Win,2019
1528,2019-05-19,R9,GWS,Carlton,138,45,1589.96,1271.05,1639.96,1598.56,1262.45,8.6,-8.6,Home Win,2019
1529,2019-05-24,R10,Sydney,Collingwood,73,80,1471.03,1668.08,1521.03,1467.38,1671.73,-3.65,3.65,Away Win,2019
1530,2019-05-25,R10,Hawthorn,Port Adelaide,80,49,1533.5,1538.76,1583.5,1552.03,1520.24,18.52,-18.52,Home Win,2019
1531,2019-05-25,R10,Footscray,North Melbourne,90,115,1440.88,1418.61,1490.88,1419.49,1440.01,-21.39,21.39,Away Win,2019
1532,2019-05-25,R10,Adelaide,West Coast,73,85,1565.14,1597.06,1615.14,1554.49,1607.71,-10.64,10.64,Away Win,2019
1533,2019-05-25,R10,Richmond,Essendon,73,50,1611.69,1545.81,1661.69,1622.61,1534.89,10.92,-10.92,Home Win,2019
1534,2019-05-25,R10,Gold Coast,Geelong,64,91,1279.27,1701.83,1329.27,1276.27,1704.84,-3.0,3.0,Away Win,2019
1535,2019-05-26,R10,Melbourne,GWS,68,94,1491.02,1598.56,1541.02,1476.69,1612.89,-14.33,14.33,Away Win,2019
1536,2019-05-26,R10,St Kilda,Carlton,68,55,1383.32,1262.45,1433.32,1388.79,1256.99,5.47,-5.47,Home Win,2019
1537,2019-05-26,R10,Fremantle,Brisbane Lions,73,72,1435.69,1457.28,1485.69,1437.78,1455.18,2.1,-2.1,Home Win,2019
1538,2019-05-31,R11,North Melbourne,Richmond,99,62,1440.01,1622.61,1490.01,1469.14,1593.47,29.13,-29.13,Home Win,2019
1539,2019-06-01,R11,Melbourne,Adelaide,88,90,1476.69,1554.49,1476.69,1474.33,1556.85,-2.36,2.36,Away Win,2019
1540,2019-06-01,R11,Brisbane Lions,Hawthorn,85,66,1455.18,1552.03,1505.18,1470.6,1536.61,15.42,-15.42,Home Win,2019
1541,2019-06-01,R11,GWS,Gold Coast,126,43,1612.89,1276.27,1662.89,1619.98,1269.18,7.09,-7.09,Home Win,2019
1542,2019-06-01,R11,Collingwood,Fremantle,75,79,1671.73,1437.78,1721.73,1664.92,1444.59,-6.81,6.81,Away Win,2019
1543,2019-06-01,R11,Geelong,Sydney,85,63,1704.84,1467.38,1754.84,1709.25,1462.96,4.42,-4.42,Home Win,2019
1544,2019-06-02,R11,St Kilda,Port Adelaide,69,139,1388.79,1520.24,1388.79,1365.46,1543.57,-23.33,23.33,Away Win,2019
1545,2019-06-02,R11,Essendon,Carlton,74,33,1534.89,1256.99,1584.89,1540.6,1251.28,5.71,-5.71,Home Win,2019
1546,2019-06-02,R11,West Coast,Footscray,133,72,1607.71,1419.49,1657.71,1620.45,1406.74,12.74,-12.74,Home Win,2019
1547,2019-06-07,R12,Richmond,Geelong,37,104,1593.47,1709.25,1643.47,1564.46,1738.26,-29.01,29.01,Away Win,2019
1548,2019-06-08,R12,Gold Coast,North Melbourne,72,99,1269.18,1469.14,1319.18,1259.37,1478.95,-9.81,9.81,Away Win,2019
1549,2019-06-08,R12,Carlton,Brisbane Lions,78,63,1251.28,1470.6,1301.28,1266.42,1455.46,15.14,-15.14,Home Win,2019
1550,2019-06-08,R12,Adelaide,GWS,82,61,1556.85,1619.98,1606.85,1572.47,1604.36,15.62,-15.62,Home Win,2019
1551,2019-06-09,R12,Sydney,West Coast,116,71,1462.96,1620.45,1512.96,1495.88,1587.53,32.92,-32.92,Home Win,2019
1552,2019-06-10,R12,Collingwood,Melbourne,98,57,1664.92,1474.33,1714.92,1674.13,1465.12,9.21,-9.21,Home Win,2019
1553,2019-06-13,R13,Adelaide,Richmond,101,68,1572.47,1564.46,1622.47,1591.04,1545.89,18.57,-18.57,Home Win,2019
1554,2019-06-14,R13,Essendon,Hawthorn,96,77,1540.6,1536.61,1590.6,1552.95,1524.26,12.35,-12.35,Home Win,2019
1555,2019-06-15,R13,Gold Coast,St Kilda,76,80,1259.37,1365.46,1259.37,1256.24,1368.6,-3.13,3.13,Away Win,2019
1556,2019-06-15,R13,Fremantle,Port Adelaide,100,79,1444.59,1543.57,1494.59,1461.29,1526.87,16.7,-16.7,Home Win,2019
1557,2019-06-15,R13,Carlton,Footscray,100,103,1266.42,1406.74,1316.42,1263.71,1409.45,-2.71,2.71,Away Win,2019
1558,2019-06-16,R13,North Melbourne,GWS,68,91,1478.95,1604.36,1528.95,1466.84,1616.47,-12.11,12.11,Away Win,2019
1559,2019-06-20,R14,West Coast,Essendon,106,71,1587.53,1552.95,1637.53,1604.89,1535.58,17.36,-17.36,Home Win,2019
1560,2019-06-21,R14,Sydney,Hawthorn,82,63,1495.88,1524.26,1545.88,1509.31,1510.83,13.43,-13.43,Home Win,2019
1561,2019-06-22,R14,Port Adelaide,Geelong,67,56,1526.87,1738.26,1576.87,1538.8,1726.32,11.94,-11.94,Home Win,2019
1562,2019-06-22,R14,St Kilda,Brisbane Lions,59,115,1368.6,1455.46,1418.6,1340.29,1483.77,-28.31,28.31,Away Win,2019
1563,2019-06-22,R14,Melbourne,Fremantle,85,71,1465.12,1461.29,1515.12,1474.94,1451.47,9.82,-9.82,Home Win,2019
1564,2019-06-23,R14,Footscray,Collingwood,73,82,1409.45,1674.13,1459.45,1406.33,1677.26,-3.13,3.13,Away Win,2019
1565,2019-06-27,R15,Essendon,GWS,77,71,1535.58,1616.47,1585.58,1542.05,1610.01,6.47,-6.47,Home Win,2019
1566,2019-06-28,R15,Geelong,Adelaide,96,69,1726.32,1591.04,1776.32,1735.18,1582.18,8.86,-8.86,Home Win,2019
1567,2019-06-29,R15,Hawthorn,West Coast,71,77,1510.83,1604.89,1560.83,1505.69,1610.03,-5.14,5.14,Away Win,2019
1568,2019-06-29,R15,Sydney,Gold Coast,93,51,1509.31,1256.24,1559.31,1516.0,1249.55,6.68,-6.68,Home Win,2019
1569,2019-06-29,R15,Collingwood,North Melbourne,37,81,1677.26,1466.84,1677.26,1640.29,1503.8,-36.96,36.96,Away Win,2019
1570,2019-06-29,R15,Port Adelaide,Footscray,41,66,1538.8,1406.33,1588.8,1514.6,1430.53,-24.21,24.21,Away Win,2019
1571,2019-06-30,R15,St Kilda,Richmond,70,103,1340.29,1545.89,1390.29,1329.14,1557.04,-11.15,11.15,Away Win,2019
1572,2019-06-30,R15,Brisbane Lions,Melbourne,107,74,1483.77,1474.94,1533.77,1502.28,1456.43,18.51,-18.51,Home Win,2019
1573,2019-06-30,R15,Fremantle,Carlton,75,79,1451.47,1263.71,1501.47,1444.78,1270.4,-6.7,6.7,Away Win,2019
1574,2019-07-05,R16,Hawthorn,Collingwood,67,63,1505.69,1640.29,1555.69,1511.09,1634.89,5.4,-5.4,Home Win,2019
1575,2019-07-06,R16,Essendon,Sydney,76,66,1542.05,1516.0,1592.05,1549.03,1509.02,6.98,-6.98,Home Win,2019
1576,2019-07-06,R16,Gold Coast,Richmond,58,150,1249.55,1557.04,1299.55,1234.67,1571.93,-14.88,14.88,Away Win,2019
1577,2019-07-06,R16,Adelaide,Port Adelaide,44,101,1582.18,1514.6,1632.18,1538.99,1557.79,-43.19,43.19,Away Win,2019
1578,2019-07-06,R16,Footscray,Geelong,71,55,1430.53,1735.18,1480.53,1447.34,1718.38,16.8,-16.8,Home Win,2019
1579,2019-07-06,R16,Fremantle,West Coast,31,122,1444.78,1610.03,1494.78,1414.96,1639.85,-29.82,29.82,Away Win,2019
1580,2019-07-07,R16,Carlton,Melbourne,100,105,1270.4,1456.43,1320.4,1267.35,1459.48,-3.05,3.05,Away Win,2019
1581,2019-07-07,R16,North Melbourne,St Kilda,112,73,1503.8,1329.14,1553.8,1513.43,1319.5,9.64,-9.64,Home Win,2019
1582,2019-07-07,R16,GWS,Brisbane Lions,74,94,1610.01,1502.28,1660.01,1590.02,1522.26,-19.98,19.98,Away Win,2019
1583,2019-07-12,R17,West Coast,Collingwood,77,78,1639.85,1634.89,1689.85,1637.17,1637.57,-2.68,2.68,Away Win,2019
1584,2019-07-13,R17,Geelong,St Kilda,84,57,1718.38,1319.5,1768.38,1720.42,1317.46,2.04,-2.04,Home Win,2019
1585,2019-07-13,R17,Gold Coast,Adelaide,56,151,1234.67,1538.99,1284.67,1219.15,1554.51,-15.52,15.52,Away Win,2019
1586,2019-07-13,R17,Sydney,Carlton,62,69,1509.02,1267.35,1559.02,1499.08,1277.29,-9.94,9.94,Away Win,2019
1587,2019-07-13,R17,Hawthorn,Fremantle,84,53,1511.09,1414.96,1561.09,1523.03,1403.02,11.94,-11.94,Home Win,2019
1588,2019-07-13,R17,Essendon,North Melbourne,86,81,1549.03,1513.43,1599.03,1553.15,1509.31,4.12,-4.12,Home Win,2019
1589,2019-07-14,R17,Richmond,GWS,94,67,1571.93,1590.02,1621.93,1589.09,1572.86,17.17,-17.17,Home Win,2019
1590,2019-07-14,R17,Footscray,Melbourne,74,66,1447.34,1459.48,1497.34,1454.17,1452.66,6.83,-6.83,Home Win,2019
1591,2019-07-14,R17,Port Adelaide,Brisbane Lions,49,97,1557.79,1522.26,1607.79,1521.58,1558.47,-36.21,36.21,Away Win,2019
1592,2019-07-19,R18,Adelaide,Essendon,75,96,1554.51,1553.15,1604.51,1536.4,1571.26,-18.11,18.11,Away Win,2019
1593,2019-07-20,R18,Fremantle,Sydney,52,51,1403.02,1499.08,1453.02,1405.46,1496.64,2.44,-2.44,Home Win,2019
1594,2019-07-20,R18,GWS,Collingwood,122,75,1572.86,1637.57,1622.86,1602.1,1608.32,29.24,-29.24,Home Win,2019
1595,2019-07-20,R18,Brisbane Lions,North Melbourne,87,75,1558.47,1509.31,1608.47,1565.68,1502.1,7.21,-7.21,Home Win,2019
1596,2019-07-20,R18,Richmond,Port Adelaide,101,63,1589.09,1521.58,1639.09,1605.08,1505.6,15.98,-15.98,Home Win,2019
1597,2019-07-20,R18,Carlton,Gold Coast,99,75,1277.29,1219.15,1327.29,1288.98,1207.46,11.69,-11.69,Home Win,2019
1598,2019-07-21,R18,Geelong,Hawthorn,61,85,1720.42,1523.03,1770.42,1696.04,1547.4,-24.38,24.38,Away Win,2019
1599,2019-07-21,R18,Melbourne,West Coast,78,91,1452.66,1637.17,1502.66,1446.6,1643.23,-6.06,6.06,Away Win,2019
1600,2019-07-21,R18,St Kilda,Footscray,116,89,1317.46,1454.17,1367.46,1338.97,1432.66,21.51,-21.51,Home Win,2019
1601,2019-07-26,R19,Collingwood,Richmond,66,98,1608.32,1605.08,1658.32,1583.2,1630.2,-25.12,25.12,Away Win,2019
1602,2019-07-27,R19,St Kilda,Melbourne,104,85,1338.97,1446.6,1388.97,1354.67,1430.9,15.7,-15.7,Home Win,2019
1603,2019-07-27,R19,Hawthorn,Brisbane Lions,60,87,1547.4,1565.68,1597.4,1526.79,1586.29,-20.62,20.62,Away Win,2019
1604,2019-07-27,R19,Carlton,Adelaide,87,60,1288.98,1536.4,1338.98,1313.21,1512.17,24.23,-24.23,Home Win,2019
1605,2019-07-27,R19,West Coast,North Melbourne,121,72,1643.23,1502.1,1693.23,1656.91,1488.42,13.68,-13.68,Home Win,2019
1606,2019-07-27,R19,Port Adelaide,GWS,55,56,1505.6,1602.1,1555.6,1503.73,1603.97,-1.87,1.87,Away Win,2019
1607,2019-07-28,R19,Gold Coast,Essendon,96,106,1207.46,1571.26,1257.46,1205.48,1573.24,-1.98,1.98,Away Win,2019
1608,2019-07-28,R19,Footscray,Fremantle,113,66,1432.66,1405.46,1482.66,1455.22,1382.89,22.57,-22.57,Home Win,2019
1609,2019-07-28,R19,Sydney,Geelong,80,107,1496.64,1696.04,1546.64,1486.81,1705.88,-9.83,9.83,Away Win,2019
1610,2019-08-02,R20,North Melbourne,Hawthorn,86,64,1488.42,1526.79,1538.42,1503.78,1511.43,15.36,-15.36,Home Win,2019
1611,2019-08-03,R20,Melbourne,Richmond,60,93,1430.9,1630.2,1480.9,1419.41,1641.69,-11.49,11.49,Away Win,2019
1612,2019-08-03,R20,Essendon,Port Adelaide,67,126,1573.24,1503.73,1623.24,1528.76,1548.21,-44.48,44.48,Away Win,2019
1613,2019-08-03,R20,GWS,Sydney,83,81,1603.97,1486.81,1653.97,1605.59,1485.19,1.62,-1.62,Home Win,2019
1614,2019-08-03,R20,Fremantle,Geelong,95,61,1382.89,1705.88,1432.89,1413.05,1675.72,30.16,-30.16,Home Win,2019
1615,2019-08-03,R20,Adelaide,St Kilda,92,70,1512.17,1354.67,1562.17,1518.94,1347.91,6.76,-6.76,Home Win,2019
1616,2019-08-04,R20,Carlton,West Coast,75,99,1313.21,1656.91,1363.21,1308.93,1661.19,-4.28,4.28,Away Win,2019
1617,2019-08-04,R20,Collingwood,Gold Coast,120,51,1583.2,1205.48,1633.2,1588.01,1200.66,4.81,-4.81,Home Win,2019
1618,2019-08-04,R20,Brisbane Lions,Footscray,98,80,1586.29,1455.22,1636.29,1592.93,1448.59,6.63,-6.63,Home Win,2019
1619,2019-08-09,R21,GWS,Hawthorn,29,85,1605.59,1511.43,1655.59,1561.74,1555.27,-43.85,43.85,Away Win,2019
1620,2019-08-10,R21,Melbourne,Collingwood,53,70,1419.41,1588.01,1469.41,1411.44,1595.98,-7.96,7.96,Away Win,2019
1621,2019-08-10,R21,Port Adelaide,Sydney,103,56,1548.21,1485.19,1598.21,1567.47,1465.92,19.26,-19.26,Home Win,2019
1622,2019-08-10,R21,Brisbane Lions,Gold Coast,144,53,1592.93,1200.66,1642.93,1598.42,1195.17,5.5,-5.5,Home Win,2019
1623,2019-08-10,R21,Essendon,Footscray,33,137,1528.76,1448.59,1578.76,1458.32,1519.03,-70.44,70.44,Away Win,2019
1624,2019-08-10,R21,Geelong,North Melbourne,69,14,1675.72,1503.78,1725.72,1688.51,1490.99,12.79,-12.79,Home Win,2019
1625,2019-08-11,R21,St Kilda,Fremantle,72,69,1347.91,1413.05,1397.91,1351.92,1409.05,4.01,-4.01,Home Win,2019
1626,2019-08-11,R21,Richmond,Carlton,73,45,1641.69,1308.93,1691.69,1644.79,1305.84,3.1,-3.1,Home Win,2019
1627,2019-08-11,R21,West Coast,Adelaide,90,80,1661.19,1518.94,1711.19,1665.24,1514.88,4.05,-4.05,Home Win,2019
1628,2019-08-16,R22,Melbourne,Sydney,42,95,1411.44,1465.92,1461.44,1380.78,1496.59,-30.67,30.67,Away Win,2019
1629,2019-08-17,R22,Fremantle,Essendon,55,87,1409.05,1458.32,1459.05,1387.97,1479.4,-21.08,21.08,Away Win,2019
1630,2019-08-17,R22,North Melbourne,Port Adelaide,144,58,1490.99,1567.47,1540.99,1539.14,1519.32,48.15,-48.15,Home Win,2019
1631,2019-08-17,R22,Carlton,St Kilda,78,68,1305.84,1351.92,1355.84,1314.49,1343.26,8.66,-8.66,Home Win,2019
1632,2019-08-17,R22,Brisbane Lions,Geelong,75,74,1598.42,1688.51,1648.42,1600.84,1686.09,2.41,-2.41,Home Win,2019
1633,2019-08-17,R22,Adelaide,Collingwood,48,114,1514.88,1595.98,1564.88,1481.93,1628.93,-32.95,32.95,Away Win,2019
1634,2019-08-18,R22,Richmond,West Coast,88,82,1644.79,1665.24,1694.79,1650.48,1659.54,5.69,-5.69,Home Win,2019
1635,2019-08-18,R22,GWS,Footscray,65,126,1561.74,1519.03,1611.74,1517.6,1563.17,-44.14,44.14,Away Win,2019
1636,2019-08-18,R22,Hawthorn,Gold Coast,118,48,1555.27,1195.17,1555.27,1562.28,1188.16,7.0,-7.0,Home Win,2019
1637,2019-08-23,R23,Collingwood,Essendon,76,65,1628.93,1479.4,1678.93,1633.12,1475.22,4.19,-4.19,Home Win,2019
1638,2019-08-24,R23,West Coast,Hawthorn,67,105,1659.54,1562.28,1709.54,1627.08,1594.74,-32.47,32.47,Away Win,2019
1639,2019-08-24,R23,Geelong,Carlton,129,61,1686.09,1314.49,1736.09,1691.03,1309.56,4.93,-4.93,Home Win,2019
1640,2019-08-24,R23,Gold Coast,GWS,55,127,1188.16,1517.6,1238.16,1177.27,1528.49,-10.89,10.89,Away Win,2019
1641,2019-08-24,R23,Sydney,St Kilda,109,64,1496.59,1343.26,1546.59,1508.62,1331.23,12.03,-12.03,Home Win,2019
1642,2019-08-24,R23,North Melbourne,Melbourne,88,83,1539.14,1380.78,1589.14,1541.44,1378.48,2.3,-2.3,Home Win,2019
1643,2019-08-25,R23,Footscray,Adelaide,121,87,1563.17,1481.93,1563.17,1579.75,1465.35,16.58,-16.58,Home Win,2019
1644,2019-08-25,R23,Richmond,Brisbane Lions,82,55,1650.48,1600.84,1700.48,1663.77,1587.55,13.29,-13.29,Home Win,2019
1645,2019-08-25,R23,Port Adelaide,Fremantle,110,67,1519.32,1387.97,1569.32,1532.29,1375.0,12.97,-12.97,Home Win,2019
1646,2019-09-05,EF,West Coast,Essendon,116,61,1627.08,1475.22,1677.08,1641.26,1461.03,14.19,-14.19,Home Win,2019
1647,2019-09-06,QF,Geelong,Collingwood,51,61,1691.03,1633.12,1741.03,1679.74,1644.4,-11.29,11.29,Away Win,2019
1648,2019-09-07,EF,GWS,Footscray,113,55,1528.49,1579.75,1578.49,1562.05,1546.2,33.55,-33.55,Home Win,2019
1649,2019-09-07,QF,Brisbane Lions,Richmond,65,112,1587.55,1663.77,1637.55,1561.83,1689.49,-25.72,25.72,Away Win,2019
1650,2019-09-13,SF,Geelong,West Coast,88,68,1679.74,1641.26,1729.74,1690.83,1630.17,11.09,-11.09,Home Win,2019
1651,2019-09-14,SF,Brisbane Lions,GWS,80,83,1561.83,1562.05,1611.83,1557.22,1566.66,-4.62,4.62,Away Win,2019
1652,2019-09-20,PF,Richmond,Geelong,85,66,1689.49,1690.83,1739.49,1702.09,1678.24,12.6,-12.6,Home Win,2019
1653,2019-09-21,PF,Collingwood,GWS,52,56,1644.4,1566.66,1694.4,1638.25,1572.81,-6.15,6.15,Away Win,2019
1654,2019-09-28,GF,Richmond,GWS,114,25,1702.09,1572.81,1752.09,1725.32,1549.58,23.23,-23.23,Home Win,2019
1655,2020-03-19,R1,Richmond,Carlton,105,81,1650.96,1372.4,1700.96,1654.71,1368.65,3.75,-3.75,Home Win,2020
1656,2020-03-20,R1,Footscray,Collingwood,34,86,1530.95,1592.63,1580.95,1501.53,1622.05,-29.42,29.42,Away Win,2020
1657,2020-03-21,R1,Essendon,Fremantle,63,57,1473.89,1416.25,1523.89,1478.12,1412.02,4.23,-4.23,Home Win,2020
1658,2020-03-21,R1,Adelaide,Sydney,71,74,1476.79,1505.78,1526.79,1472.6,1509.97,-4.19,4.19,Away Win,2020
1659,2020-03-21,R1,GWS,Geelong,105,73,1533.22,1619.42,1583.22,1555.8,1596.84,22.58,-22.58,Home Win,2020
1660,2020-03-21,R1,Gold Coast,Port Adelaide,29,76,1283.77,1521.63,1333.77,1271.21,1534.19,-12.56,12.56,Away Win,2020
1661,2020-03-22,R1,Hawthorn,Brisbane Lions,90,62,1563.48,1538.33,1613.48,1578.69,1523.12,15.21,-15.21,Home Win,2020
1662,2020-03-22,R1,North Melbourne,St Kilda,56,54,1527.76,1386.92,1577.76,1529.2,1385.48,1.44,-1.44,Home Win,2020
1663,2020-03-22,R1,West Coast,Melbourne,78,51,1587.21,1418.58,1637.21,1594.68,1411.11,7.47,-7.47,Home Win,2020
1664,2020-06-11,R2,Collingwood,Richmond,36,36,1622.05,1654.71,1672.05,1620.68,1656.08,-1.36,1.36,Away Win,2020
1665,2020-06-12,R2,Geelong,Hawthorn,108,47,1596.84,1578.69,1646.84,1625.62,1549.91,28.78,-28.78,Home Win,2020
1666,2020-06-13,R2,Brisbane Lions,Fremantle,81,69,1523.12,1412.02,1573.12,1528.52,1406.62,5.4,-5.4,Home Win,2020
1667,2020-06-13,R2,Carlton,Melbourne,53,54,1368.65,1411.11,1418.65,1366.35,1413.4,-2.29,2.29,Away Win,2020
1668,2020-06-13,R2,Port Adelaide,Adelaide,110,35,1534.19,1472.6,1584.19,1562.19,1444.6,28.0,-28.0,Home Win,2020
1669,2020-06-13,R2,Gold Coast,West Coast,90,46,1271.21,1594.68,1321.21,1308.1,1557.8,36.88,-36.88,Home Win,2020
1670,2020-06-14,R2,GWS,North Melbourne,60,80,1555.8,1529.2,1605.8,1537.65,1547.35,-18.15,18.15,Away Win,2020
1671,2020-06-14,R2,Sydney,Essendon,73,79,1509.97,1478.12,1559.97,1502.38,1485.71,-7.59,7.59,Away Win,2020
1672,2020-06-14,R2,St Kilda,Footscray,88,49,1385.48,1501.53,1435.48,1413.2,1473.81,27.72,-27.72,Home Win,2020
1673,2020-06-18,R3,Richmond,Hawthorn,39,71,1656.08,1549.91,1706.08,1627.43,1578.56,-28.65,28.65,Away Win,2020
1674,2020-06-19,R3,Footscray,GWS,57,33,1473.81,1537.65,1523.81,1491.14,1520.33,17.32,-17.32,Home Win,2020
1675,2020-06-20,R3,North Melbourne,Sydney,60,71,1547.35,1502.38,1597.35,1535.45,1514.28,-11.9,11.9,Away Win,2020
1676,2020-06-20,R3,Collingwood,St Kilda,81,37,1620.68,1413.2,1670.68,1629.58,1404.3,8.9,-8.9,Home Win,2020
1677,2020-06-20,R3,Geelong,Carlton,77,79,1625.62,1366.35,1675.62,1621.07,1370.9,-4.55,4.55,Away Win,2020
1678,2020-06-20,R3,Brisbane Lions,West Coast,74,44,1528.52,1557.8,1578.52,1547.63,1538.69,19.11,-19.11,Home Win,2020
1679,2020-06-21,R3,Gold Coast,Adelaide,82,29,1308.1,1444.6,1358.1,1344.46,1408.24,36.36,-36.36,Home Win,2020
1680,2020-06-21,R3,Fremantle,Port Adelaide,41,70,1406.62,1562.19,1406.62,1396.17,1572.64,-10.45,10.45,Away Win,2020
1681,2020-06-25,R4,Sydney,Footscray,39,67,1514.28,1491.14,1564.28,1490.9,1514.51,-23.38,23.38,Away Win,2020
1682,2020-06-26,R4,GWS,Collingwood,66,64,1520.33,1629.58,1570.33,1523.78,1626.13,3.45,-3.45,Home Win,2020
1683,2020-06-27,R4,Essendon,Carlton,51,52,1485.71,1370.9,1535.71,1482.65,1373.97,-3.07,3.07,Away Win,2020
1684,2020-06-27,R4,Gold Coast,Fremantle,64,51,1344.46,1396.17,1394.46,1355.08,1385.54,10.63,-10.63,Home Win,2020
1685,2020-06-27,R4,Port Adelaide,West Coast,89,41,1572.64,1538.69,1572.64,1599.0,1512.33,26.36,-26.36,Home Win,2020
1686,2020-06-27,R4,St Kilda,Richmond,93,67,1404.3,1627.43,1454.3,1427.38,1604.35,23.08,-23.08,Home Win,2020
1687,2020-06-28,R4,Brisbane Lions,Adelaide,83,46,1547.63,1408.24,1597.63,1558.71,1397.16,11.08,-11.08,Home Win,2020
1688,2020-06-28,R4,Melbourne,Geelong,44,47,1413.4,1621.07,1463.4,1411.41,1623.06,-1.99,1.99,Away Win,2020
1689,2020-06-28,R4,Hawthorn,North Melbourne,58,54,1578.56,1535.45,1578.56,1582.65,1531.36,4.09,-4.09,Home Win,2020
1690,2020-07-02,R5,Carlton,St Kilda,55,73,1373.97,1427.38,1423.97,1360.62,1440.73,-13.35,13.35,Away Win,2020
1691,2020-07-03,R5,Collingwood,Essendon,48,63,1626.13,1482.65,1676.13,1609.58,1499.2,-16.55,16.55,Away Win,2020
1692,2020-07-04,R5,West Coast,Sydney,77,43,1512.33,1490.9,1512.33,1533.47,1469.76,21.14,-21.14,Home Win,2020
1693,2020-07-04,R5,Geelong,Gold Coast,89,52,1623.06,1355.08,1673.06,1628.63,1349.51,5.57,-5.57,Home Win,2020
1694,2020-07-04,R5,Footscray,North Melbourne,87,38,1514.51,1531.36,1564.51,1541.73,1504.14,27.22,-27.22,Home Win,2020
1695,2020-07-04,R5,Brisbane Lions,Port Adelaide,85,48,1558.71,1599.0,1608.71,1581.76,1575.95,23.05,-23.05,Home Win,2020
1696,2020-07-05,R5,GWS,Hawthorn,83,49,1523.78,1582.65,1573.78,1546.23,1560.21,22.45,-22.45,Home Win,2020
1697,2020-07-05,R5,Adelaide,Fremantle,34,54,1397.16,1385.54,1397.16,1381.56,1401.14,-15.59,15.59,Away Win,2020
1698,2020-07-05,R5,Melbourne,Richmond,52,79,1411.41,1604.35,1461.41,1401.27,1614.48,-10.14,10.14,Away Win,2020
1699,2020-07-09,R6,Geelong,Brisbane Lions,73,46,1628.63,1581.76,1628.63,1644.64,1565.76,16.0,-16.0,Home Win,2020
1700,2020-07-10,R6,Collingwood,Hawthorn,59,27,1609.58,1560.21,1609.58,1627.64,1542.14,18.07,-18.07,Home Win,2020
1701,2020-07-11,R6,Fremantle,St Kilda,79,73,1401.14,1440.73,1401.14,1407.96,1433.91,6.83,-6.83,Home Win,2020
1702,2020-07-11,R6,West Coast,Adelaide,67,34,1533.47,1381.56,1533.47,1545.23,1369.81,11.75,-11.75,Home Win,2020
1703,2020-07-11,R6,Melbourne,Gold Coast,80,63,1401.27,1349.51,1401.27,1412.29,1338.5,11.02,-11.02,Home Win,2020
1704,2020-07-11,R6,Essendon,North Melbourne,67,53,1499.2,1504.14,1499.2,1510.95,1492.38,11.76,-11.76,Home Win,2020
1705,2020-07-12,R6,Carlton,Footscray,103,51,1360.62,1541.73,1360.62,1401.87,1500.48,41.25,-41.25,Home Win,2020
1706,2020-07-12,R6,Port Adelaide,GWS,63,46,1575.95,1546.23,1575.95,1587.98,1534.2,12.03,-12.03,Home Win,2020
1707,2020-07-12,R6,Richmond,Sydney,34,26,1614.48,1469.76,1614.48,1618.68,1465.56,4.2,-4.2,Home Win,2020
1708,2020-07-16,R7,Geelong,Collingwood,35,57,1644.64,1627.64,1644.64,1627.69,1644.59,-16.95,16.95,Away Win,2020
1709,2020-07-17,R7,Essendon,Footscray,51,93,1510.95,1500.48,1510.95,1483.35,1528.08,-27.6,27.6,Away Win,2020
