,Date,Round,Home,Away,Home Score,Away Score,Home Elo Pre,Away Elo Pre,Home Elo Pre + Advantage,Home Elo Post,Away Elo Post,Home Elo Change,Away Elo Change,Result,Year
105,2012-06-23,R13,Fremantle,Essendon,89,113,1491.67,1615.52,1541.67,1479.08,1628.11,-12.6,12.6,Away Win,2012
106,2012-06-24,R13,Melbourne,GWS,135,57,1317.58,1293.36,1367.58,1351.63,1259.31,34.05,-34.05,Home Win,2012
107,2012-06-24,R13,North Melbourne,Adelaide,121,89,1477.39,1628.84,1527.39,1502.43,1603.8,25.04,-25.04,Home Win,2012
108,2012-06-29,R14,Carlton,Hawthorn,70,120,1493.49,1628.01,1543.49,1472.2,1649.3,-21.29,21.29,Away Win,2012
109,2012-06-30,R14,Sydney,GWS,132,38,1607.39,1259.31,1657.39,1614.71,1252.0,7.32,-7.32,Home Win,2012
110,2012-06-30,R14,Essendon,Footscray,140,56,1628.11,1418.84,1678.11,1642.77,1404.18,14.66,-14.66,Home Win,2012
111,2012-06-30,R14,Adelaide,Richmond,106,87,1603.8,1543.66,1603.8,1615.38,1532.08,11.58,-11.58,Home Win,2012
112,2012-06-30,R14,Collingwood,Fremantle,107,78,1599.11,1479.08,1649.11,1609.21,1468.98,10.1,-10.1,Home Win,2012
113,2012-06-30,R14,West Coast,Gold Coast,166,40,1612.33,1271.93,1662.33,1621.98,1262.27,9.66,-9.66,Home Win,2012
114,2012-07-01,R14,Geelong,Port Adelaide,99,61,1535.67,1439.34,1585.67,1549.64,1425.37,13.97,-13.97,Home Win,2012
115,2012-07-01,R14,Brisbane Lions,Melbourne,122,61,1463.91,1351.63,1513.91,1482.65,1332.89,18.75,-18.75,Home Win,2012
116,2012-07-01,R14,St Kilda,North Melbourne,103,136,1561.98,1502.43,1611.98,1534.08,1530.33,-27.9,27.9,Away Win,2012
117,2012-07-06,R15,Collingwood,Carlton,62,85,1609.21,1472.2,1659.21,1586.43,1494.98,-22.78,22.78,Away Win,2012
118,2012-07-07,R15,St Kilda,Essendon,133,62,1534.08,1642.77,1584.08,1577.91,1598.94,43.83,-43.83,Home Win,2012
119,2012-07-07,R15,Port Adelaide,Adelaide,58,116,1425.37,1615.38,1425.37,1410.21,1630.54,-15.16,15.16,Away Win,2012
120,2012-07-07,R15,Sydney,Brisbane Lions,110,63,1614.71,1482.65,1664.71,1628.57,1468.8,13.86,-13.86,Home Win,2012
121,2012-07-07,R15,Melbourne,Richmond,78,101,1332.89,1532.08,1382.89,1324.18,1540.78,-8.7,8.7,Away Win,2012
122,2012-07-07,R15,North Melbourne,West Coast,84,86,1530.33,1621.98,1580.33,1527.69,1624.62,-2.63,2.63,Away Win,2012
123,2012-07-08,R15,Hawthorn,GWS,193,31,1649.3,1252.0,1699.3,1657.73,1243.57,8.43,-8.43,Home Win,2012
124,2012-07-08,R15,Gold Coast,Geelong,96,110,1262.27,1549.64,1312.27,1258.42,1553.48,-3.85,3.85,Away Win,2012
125,2012-07-08,R15,Fremantle,Footscray,95,57,1468.98,1404.18,1518.98,1485.16,1388.0,16.18,-16.18,Home Win,2012
126,2012-07-13,R16,North Melbourne,Carlton,149,96,1527.69,1494.98,1577.69,1551.9,1470.77,24.21,-24.21,Home Win,2012
127,2012-07-14,R16,Geelong,Collingwood,79,110,1553.48,1586.43,1603.48,1531.68,1608.23,-21.8,21.8,Away Win,2012
